AFFILIATE,CALLS,STATE,MARKET,PROGRAM NAME,LOCATION,TIME,RATE
"NBC
Example",KTAL,LOUISIANA,SHREVEPORT,86,LifeStyle Segment,"Satellite, Studio,",$500
"CBS
Example",KCLO,South Dakota,Rapid City,100,LifeStyle Segment,"Satellite, Studio,",$400
"Fox
Example",KTXL,California,Sacramento,20,LifeStyle Segment,"Satellite, Studio,","$1,000"
"NBC
Example",KTSM,Texas,El Paso (Las Cruces),93,LifeStyle Segment,"Satellite, Studio,","$1,000"
"Fox
ExampleIntake form",KSWB,California,San Diego,28,The LOCAList SD,"Satellite, Studio,","$1,250"
"NBC
Example",WTWO,Indiana,Terre Haute,153,LifeStyle Segment,"Satellite, Studio,",$500
"ABC
Example",WRIC,Virginia,Richmond,56,LifeStyle Segment,"Satellite, Studio,","$2,500"
"CW
ExampleIntake form",WSFL-TV,Florida,South Florida,100,LifeStyle Segment,"Satellite, Studio,","$1,000"
"NBC
Example",WOOD,MICHIGAN,GRAND RAPIDS,41,LifeStyle Segment,"Satellite, Studio,","$2,000"
"Fox
Example",WXIN,Indiana,Indianapolis,25,LifeStyle Segment,"Satellite, Studio,","$1,000"
"ABC
ExampleIntake form",WFTS,Florida,Tampa,13,Tampa Morning Blend,"Satellite, Studio,",$900
"NBC
Example",KSEE,CA,Fresno-Visalia,55,LifeStyle Segment,"Satellite, Studio,",$400
"NBC
Example",KMIR-TV,California,Palm Springs,100,LifeStyle Segment,"Satellite, Studio,",$600
"CBS
Example",KVEO,Texas,Harlingen,89,LifeStyle Segment,"Satellite, Studio,",$500
"CBS
Example",KTAB,TEXAS,Abilene/Sweetwater,165,LifeStyle Segment,"Satellite, Studio,",$500
"NBC
Example",KAMR,Texas,Amarillo,131,LifeStyle Segment,"Satellite, Studio,",$500
"NBC
ExampleIntake form",KETK,TEXAS,TYLER/LONGVIEW,110,LifeStyle Segment,"Satellite, Studio,",$500
"CBS
Example",WFRV,Wisconsin,Green Bay-Appleton,68,LifeStyle Segment,"Satellite, Studio,","$1,000"
"CBS
Example",WPRI,Rhode Island,Providence,53,LifeStyle Segment,"Satellite, Studio,","$3,000"
"CW
Example",KRCW,Oregon,Portland,21,LifeStyle Segment,"Satellite, Studio,","$1,500"
"NBC
Example",WAVY,Virginia,Norfolk,45,LifeStyle Segment,"Satellite, Studio,","$1,250"
"NBC
Example",KSNW,KANSAS,WICHITA-HUTCHINSON,70,LifeStyle Segment,"Satellite, Studio,",$500
"CW
Example",KWGN,COLORADO,DENVER,16,LifeStyle Segment,"Satellite, Studio,","$2,000"
"NBC
Example",WBRE,Pennsylvania,Wilkes Barre,58,LifeStyle Segment,"Satellite, Studio,",$500
"Fox
Example",KXRM,Colorado,Colorado Springs,82,LifeStyle Segment,"Satellite, Studio,","$1,000"
"CBS
Example",KLST,Texas,San Angelo,195,LifeStyle Segment,"Satellite, Studio,",$400
"INDIE
Example",WGN,Illinois,Chicago,3,LifeStyle Segment,"Satellite, Studio,","$8,000"
"CBS
Example",WJHL,Tennessee,Tri-Cities,100,LifeStyle Segment,"Satellite, Studio,","$1,250"
"NBC
ExampleIntake form",WSAV,Georgia,Savannah,91,The Bridge,"Satellite, Studio,","$1,000"
"NBC
Example",WCBD,South Carolina,Charleston,89,LifeStyle Segment,"Satellite, Studio,","$1,500"
"CBS
Example",KOLR,MISSOURI,SPRINGFIELD,74,LifeStyle Segment,"Satellite, Studio,",$750
"NBC
Example",KNWA,ARKANSAS,Fay/Ft.Smith,95,LifeStyle Segment,"Satellite, Studio,",$500
"NBC
Example",WDTN,Ohio,Dayton,65,LifeStyle Segment,"Satellite, Studio,","$1,000"
"Fox
Example",KHMT,Montana,Billings,100,LifeStyle Segment,"Satellite, Studio,",$600
"CBS
Example",WSPA,South Carolina,Greenville-Spartanburg,38,LifeStyle Segment,"Satellite, Studio,","$1,500"
"INDIE
Example",KRON,CALIFORNIA,SF/OAKLAND/SANJOSE,8,LifeStyle Segment,"Satellite, Studio,","$1,250"
"Fox
Example",KTMJ,KANSAS,TOPEKA,135,LifeStyle Segment,"Satellite, Studio,",$400
